

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
407 	keväz’ 	NOUN
408 	augkeväz’ 	NOUN
409 	keskkeväz’ 	NOUN (singularia tantum)
410 	lop||keväz’ 	NOUN
411 	mez’ 	NOUN
412 	pidätadud mez’ 	PHRASE (Verb group)
413 	harjatud mez’ 	PHRASE
414 	mecamez’ 	NOUN
415 	pämez’ 	NOUN
416 	nelländesen pämez’ 	NOUN
417 	varapämez’ 	NOUN
418 	sadanpämez’ 	NOUN
419 	peramez’ 	NOUN
420 	mezamez’ 	NOUN
421 	valdmez’ 	NOUN
422 	möndmez’ 	NOUN
423 	tedaimez’ 	NOUN
424 	miliciimez’ 	NOUN
425 	pensii||mez’ 	NOUN
426 	merimez’ 	NOUN
427 	kozimez’ 	NOUN
428 	tozimez’ 	NOUN
429 	azjmez’ 	NOUN
430 	lasketimmez’ 	NOUN
431 	kortommez’ 	NOUN
432 	jumalanmez’ 	NOUN
433 	tedomez’ 	NOUN
434 	kel’tedomez’ 	NOUN
435 	pöudtedomez’ 	NOUN (animate)
436 	zel’l’antedomez’ 	NOUN
437 	mantedomez’ 	NOUN (animate)
438 	živattedomez’ 	NOUN
439 	kazvišttedomez’ 	NOUN
440 	tähtaztedomez’ 	NOUN
441 	biznesmez’ 	NOUN
442 	lehtmez’ 	NOUN
443 	sportmez’ 	NOUN
444 	laiv||mez’ 	NOUN
445 	kirvezmez’ 	NOUN
446 	painuz||mez’ 	NOUN
447 	kaivuzmez’ 	NOUN
448 	sadanz’ 	NUM (ordinal)
449 	nellänz’sadanz’ 	NUM (ordinal)
450 	koumanz’sadanz’ 	NUM (ordinal)
451 	kahesanz’sadanz’ 	NUM
452 	ühesanz’sadanz’ 	NUM
453 	videnz’sadanz’ 	NUM
454 	kudenz’sadanz’ 	NUM (ordinal)
455 	seičemenz’sadanz’ 	NUM (ordinal)
456 	kahtenz’sadanz’ 	NUM
457 	tuhanz’ 	NUM (ordinal)
458 	nellänz’tuhanz’ 	NUM
459 	koumanz’tuhanz’ 	NUM (ordinal)
460 	kahesanz’tuhanz’ 	NUM (ordinal)
461 	kudenz’tuhanz’ 	NUM
462 	kahtenz’tuhanz’ 	NUM (ordinal)
463 	nellänz’ 	NUM (ordinal)
464 	koumanz’ 	NUM
465 	kahesanz’ 	NUM
466 	ühesanz’ 	NUM
467 	videnz’ 	NUM (ordinal)
468 	kudenz’ 	NUM
469 	seičemenz’ 	NUM (ordinal)
470 	kümnenz’ 	NUM (ordinal)
471 	nellänz’kümnenz’ 	NUM (ordinal)
472 	koumanz’kümnenz’ 	NUM (ordinal)
